ts,epoch,role,container,cpu_pct,mem_bytes,mem_limit_bytes,net_rx_bytes,net_tx_bytes,blk_read_bytes,blk_write_bytes
2026-08-20T05:29:04Z,1787203744,client,bench-warp,25.75,54091776,1073741824,40061806,2139966772,,
2026-08-20T05:29:04Z,1787203744,server,bench-minio,215.07,656986112,2147483648,2139968828,40062263,86134784,2147364864
2026-08-20T05:29:05Z,1787203745,client,bench-warp,53.30,57032704,1073741824,276314303,2218492131,,
2026-08-20T05:29:05Z,1787203745,server,bench-minio,602.79,781279232,2147483648,2222712010,284315061,149598208,2224517120
2026-08-20T05:29:06Z,1787203746,client,bench-warp,27.31,56692736,1073741824,371614215,2247375547,,
2026-08-20T05:29:06Z,1787203746,server,bench-minio,603.11,806150144,2147483648,2248948007,377926681,182042624,2251972608
2026-08-20T05:29:07Z,1787203747,client,bench-warp,16.72,58785792,1073741824,453417032,2272985098,,
2026-08-20T05:29:07Z,1787203747,server,bench-minio,572.42,813715456,2147483648,2275171688,459656784,204935168,2279469056
2026-08-20T05:29:08Z,1787203748,client,bench-warp,47.92,59707392,1073741824,577833951,2319062403,,
2026-08-20T05:29:08Z,1787203748,server,bench-minio,608.47,858861568,2147483648,2320609955,579352376,249761792,2321739776
2026-08-20T05:29:09Z,1787203749,client,bench-warp,44.03,59129856,1073741824,697439311,2357472753,,
2026-08-20T05:29:09Z,1787203749,server,bench-minio,572.02,874856448,2147483648,2359225316,701058592,294510592,2361901056
2026-08-20T05:29:10Z,1787203750,client,bench-warp,64.73,59588608,1073741824,844322467,2406978863,,
2026-08-20T05:29:10Z,1787203750,server,bench-minio,596.88,877969408,2147483648,2409829956,862054017,361451520,2414731264
2026-08-20T05:29:12Z,1787203752,client,bench-warp,95.10,69066752,1073741824,1139143561,2493158097,,
2026-08-20T05:29:12Z,1787203752,server,bench-minio,576.04,879239168,2147483648,2505028810,1148721345,481808384,2500333568
2026-08-20T05:29:12Z,1787203752,client,bench-warp,57.69,60903424,1073741824,1232359006,2536840044,,
2026-08-20T05:29:13Z,1787203753,server,bench-minio,524.61,883912704,2147483648,2540546736,1236050986,515768320,2542608384
2026-08-20T05:29:13Z,1787203753,client,bench-warp,30.66,60121088,1073741824,1290104163,2557014427,,
2026-08-20T05:29:14Z,1787203754,server,bench-minio,514.68,866639872,2147483648,2557804257,1290461494,538836992,2562641920
2026-08-20T05:29:14Z,1787203754,client,bench-warp,48.76,61554688,1073741824,1325014415,2566276596,,
2026-08-20T05:29:14Z,1787203754,server,bench-minio,433.48,869072896,2147483648,2568808568,1334016883,559702016,2573246464
2026-08-20T05:29:16Z,1787203756,client,bench-warp,26.21,63377408,1073741824,1369962132,2584267269,,
2026-08-20T05:29:16Z,1787203756,server,bench-minio,622.87,867766272,2147483648,2584715358,1369965422,573079552,2589110272
2026-08-20T05:29:17Z,1787203757,client,bench-warp,8.10,64573440,1073741824,1392191469,2593408978,,
2026-08-20T05:29:17Z,1787203757,server,bench-minio,436.37,868179968,2147483648,2594070207,1397025959,586698752,2593333248
2026-08-20T05:29:17Z,1787203757,client,bench-warp,65.02,58929152,1073741824,1463722516,2616547154,,
2026-08-20T05:29:17Z,1787203757,server,bench-minio,533.74,866934784,2147483648,2618546807,1466997404,605667328,2621853696
2026-08-20T05:29:18Z,1787203758,client,bench-warp,70.29,60784640,1073741824,1662946461,2685790143,,
2026-08-20T05:29:18Z,1787203758,server,bench-minio,574.40,869670912,2147483648,2687821637,1674115271,693071872,2687369216
2026-08-20T05:29:19Z,1787203759,client,bench-warp,59.91,61558784,1073741824,1838622869,2740799526,,
2026-08-20T05:29:20Z,1787203760,server,bench-minio,569.54,868577280,2147483648,2741627222,1840815739,753643520,2742325248
