cycle,ts,epoch,role,container,cpu_pct,mem_bytes,mem_limit_bytes,net_rx_bytes,net_tx_bytes,blk_read_bytes,blk_write_bytes
2,2026-08-20T07:59:47Z,1787212787,server,bench-silo,0.00,89710592,2147483648,2065,1400,19066880,24576
3,2026-08-20T07:59:48Z,1787212788,client,bench-warp,189.16,64450560,1073741824,113397,40702850,258048,0
3,2026-08-20T07:59:48Z,1787212788,server,bench-silo,249.76,229236736,2147483648,40931479,115325,19066880,159744
4,2026-08-20T07:59:49Z,1787212789,client,bench-warp,193.25,111800320,1073741824,198841,103593298,258048,0
4,2026-08-20T07:59:49Z,1787212789,server,bench-silo,450.72,372531200,2147483648,105123079,200935,19066880,159744
5,2026-08-20T07:59:50Z,1787212790,client,bench-warp,118.76,137236480,1073741824,251227,150530360,258048,0
5,2026-08-20T07:59:50Z,1787212790,server,bench-silo,565.10,424022016,2147483648,157648421,259741,19066880,4358144
6,2026-08-20T07:59:51Z,1787212791,client,bench-warp,65.05,138444800,1073741824,288703,184089650,258048,0
6,2026-08-20T07:59:51Z,1787212791,server,bench-silo,496.41,441225216,2147483648,187107601,291853,19066880,4358144
7,2026-08-20T07:59:52Z,1787212792,client,bench-warp,66.70,138760192,1073741824,349117,247322876,258048,0
7,2026-08-20T07:59:52Z,1787212792,server,bench-silo,579.30,456286208,2147483648,252150631,354775,19066880,42172416
8,2026-08-20T07:59:53Z,1787212793,client,bench-warp,69.36,134889472,1073741824,408571,311876464,258048,0
8,2026-08-20T07:59:53Z,1787212793,server,bench-silo,577.01,457863168,2147483648,316743497,413035,19066880,79998976
9,2026-08-20T07:59:54Z,1787212794,client,bench-warp,58.33,137523200,1073741824,490861,381798524,258048,0
9,2026-08-20T07:59:54Z,1787212794,server,bench-silo,516.70,461017088,2147483648,384408005,493507,19066880,130433024
10,2026-08-20T07:59:56Z,1787212796,client,bench-warp,71.30,133545984,1073741824,510967,406289024,258048,0
10,2026-08-20T07:59:56Z,1787212796,server,bench-silo,542.87,462503936,2147483648,407149255,511993,19066880,134635520
11,2026-08-20T07:59:57Z,1787212797,client,bench-warp,64.55,143962112,1073741824,553729,458741484,258048,0
11,2026-08-20T07:59:57Z,1787212797,server,bench-silo,601.23,468439040,2147483648,463623301,557863,19066880,134639616
12,2026-08-20T07:59:58Z,1787212798,client,bench-warp,50.90,146096128,1073741824,585469,486748032,258048,0
12,2026-08-20T07:59:58Z,1787212798,server,bench-silo,559.98,471343104,2147483648,488643003,588739,19066880,327364608
13,2026-08-20T07:59:59Z,1787212799,client,bench-warp,68.60,146149376,1073741824,598273,499711266,258048,0
13,2026-08-20T07:59:59Z,1787212799,server,bench-silo,568.43,472596480,2147483648,500763445,599917,19066880,327364608
14,2026-08-20T08:00:00Z,1787212800,client,bench-warp,108.45,145293312,1073741824,637639,544360998,258048,0
14,2026-08-20T08:00:00Z,1787212800,server,bench-silo,504.46,476385280,2147483648,545152817,638929,19066880,327364608
15,2026-08-20T08:00:01Z,1787212801,client,bench-warp,77.66,125292544,1073741824,690151,613392610,258048,0
15,2026-08-20T08:00:01Z,1787212801,server,bench-silo,540.45,479604736,2147483648,621284031,697027,19066880,371552256
16,2026-08-20T08:00:02Z,1787212802,client,bench-warp,36.54,105189376,1073741824,719317,652918326,258048,0
16,2026-08-20T08:00:02Z,1787212802,server,bench-silo,576.77,480681984,2147483648,654284061,720997,19066880,429649920
17,2026-08-20T08:00:03Z,1787212803,client,bench-warp,44.67,86446080,1073741824,747397,674104415,258048,0
17,2026-08-20T08:00:03Z,1787212803,server,bench-silo,522.10,479371264,2147483648,674107991,759907,19066880,671842304
18,2026-08-20T08:00:04Z,1787212804,client,bench-warp,151.96,87277568,1073741824,814579,677547329,258048,0
18,2026-08-20T08:00:04Z,1787212804,server,bench-silo,346.58,484757504,2147483648,680323867,824933,19066880,672022528
19,2026-08-20T08:00:05Z,1787212805,client,bench-warp,166.09,101158912,1073741824,943499,772162985,258048,0
19,2026-08-20T08:00:05Z,1787212805,server,bench-silo,512.09,507629568,2147483648,778115180,950291,19066880,680456192
20,2026-08-20T08:00:06Z,1787212806,client,bench-warp,166.81,117399552,1073741824,1011737,825997896,258048,0
20,2026-08-20T08:00:06Z,1787212806,server,bench-silo,521.59,523526144,2147483648,829317895,1017647,19066880,684662784
21,2026-08-20T08:00:07Z,1787212807,client,bench-warp,179.15,131108864,1073741824,1063853,865408010,258048,0
21,2026-08-20T08:00:07Z,1787212807,server,bench-silo,527.26,527015936,2147483648,866507443,1065881,19066880,696668160
22,2026-08-20T08:00:08Z,1787212808,client,bench-warp,154.48,143945728,1073741824,1120373,908109590,258048,0
22,2026-08-20T08:00:08Z,1787212808,server,bench-silo,565.73,529960960,2147483648,912829233,1126937,19066880,714063872
23,2026-08-20T08:00:09Z,1787212809,client,bench-warp,158.08,154378240,1073741824,1167545,942375734,258048,0
23,2026-08-20T08:00:09Z,1787212809,server,bench-silo,531.39,532283392,2147483648,943802161,1169825,19066880,726671360
24,2026-08-20T08:00:10Z,1787212810,client,bench-warp,43.07,149327872,1073741824,1190951,960523154,258048,0
24,2026-08-20T08:00:10Z,1787212810,server,bench-silo,610.29,533528576,2147483648,961194865,1192373,19066880,726683648
25,2026-08-20T08:00:11Z,1787212811,client,bench-warp,46.09,149897216,1073741824,1236803,998665978,258048,0
25,2026-08-20T08:00:11Z,1787212811,server,bench-silo,597.94,535416832,2147483648,1002699133,1241441,19066880,756080640
26,2026-08-20T08:00:12Z,1787212812,client,bench-warp,29.91,143495168,1073741824,1280603,1038195756,258048,0
26,2026-08-20T08:00:12Z,1787212812,server,bench-silo,571.77,537645056,2147483648,1039558175,1283135,19066880,764502016
27,2026-08-20T08:00:13Z,1787212813,client,bench-warp,36.13,140357632,1073741824,1305701,1059533658,258048,0
27,2026-08-20T08:00:13Z,1787212813,server,bench-silo,504.82,539291648,2147483648,1061155173,1308245,19066880,788639744
28,2026-08-20T08:00:14Z,1787212814,client,bench-warp,46.82,144912384,1073741824,1325183,1074328186,258048,0
28,2026-08-20T08:00:14Z,1787212814,server,bench-silo,380.70,540340224,2147483648,1076417823,1328477,19066880,877019136
29,2026-08-20T08:00:15Z,1787212815,client,bench-warp,37.24,143769600,1073741824,1343555,1090560130,258048,0
29,2026-08-20T08:00:15Z,1787212815,server,bench-silo,572.67,541532160,2147483648,1092358635,1347257,19066880,890679296
30,2026-08-20T08:00:16Z,1787212816,client,bench-warp,57.19,137920512,1073741824,1388669,1133922186,258048,0
30,2026-08-20T08:00:16Z,1787212816,server,bench-silo,598.19,543260672,2147483648,1136803177,1391687,19066880,903286784
31,2026-08-20T08:00:17Z,1787212817,client,bench-warp,41.57,140021760,1073741824,1416041,1161431432,258048,0
31,2026-08-20T08:00:17Z,1787212817,server,bench-silo,598.02,546488320,2147483648,1169682667,1423103,19066880,907493376
32,2026-08-20T08:00:18Z,1787212818,client,bench-warp,57.25,132501504,1073741824,1455455,1211330055,258048,0
32,2026-08-20T08:00:18Z,1787212818,server,bench-silo,570.55,549384192,2147483648,1213145254,1457399,19066880,912744448
33,2026-08-20T08:00:19Z,1787212819,client,bench-warp,36.90,121081856,1073741824,1505711,1275564930,258048,0
33,2026-08-20T08:00:19Z,1787212819,server,bench-silo,595.83,554741760,2147483648,1282177893,1511021,19066880,1151062016
34,2026-08-20T08:00:20Z,1787212820,client,bench-warp,54.52,108675072,1073741824,1539395,1315431080,258048,0
34,2026-08-20T08:00:20Z,1787212820,server,bench-silo,563.31,555917312,2147483648,1316931718,1541291,19066880,1172058112
35,2026-08-20T08:00:21Z,1787212821,client,bench-warp,72.18,90095616,1073741824,1596686,1348242208,258048,0
35,2026-08-20T08:00:21Z,1787212821,server,bench-silo,591.57,557092864,2147483648,1348982848,1598108,19066880,1246433280
36,2026-08-20T08:00:22Z,1787212822,client,bench-warp,159.24,84525056,1073741824,1629520,1361787623,258048,0
36,2026-08-20T08:00:22Z,1787212822,server,bench-silo,475.96,558358528,2147483648,1361789646,1630006,19066880,1334804480
37,2026-08-20T08:00:23Z,1787212823,client,bench-warp,164.41,108531712,1073741824,1754662,1444653102,258048,0
37,2026-08-20T08:00:23Z,1787212823,server,bench-silo,485.98,583651328,2147483648,1447303243,1758832,19066880,1360789504
38,2026-08-20T08:00:24Z,1787212824,client,bench-warp,158.40,127959040,1073741824,1816415,1490509888,258048,0
38,2026-08-20T08:00:24Z,1787212824,server,bench-silo,586.93,599400448,2147483648,1491785121,1818083,19066880,1360793600
39,2026-08-20T08:00:25Z,1787212825,client,bench-warp,185.34,160927744,1073741824,1900061,1558345066,258048,0
39,2026-08-20T08:00:25Z,1787212825,server,bench-silo,508.71,605122560,2147483648,1558535231,1900955,19066880,1369194496
40,2026-08-20T08:00:26Z,1787212826,client,bench-warp,154.08,177082368,1073741824,1918931,1570335376,258048,0
40,2026-08-20T08:00:26Z,1787212826,server,bench-silo,398.28,605519872,2147483648,1570905749,1920485,19066880,1373392896
41,2026-08-20T08:00:27Z,1787212827,client,bench-warp,35.82,170815488,1073741824,1949933,1589332428,258048,0
41,2026-08-20T08:00:27Z,1787212827,server,bench-silo,515.63,607494144,2147483648,1591312307,1953491,19066880,1381789696
42,2026-08-20T08:00:28Z,1787212828,client,bench-warp,13.35,156893184,1073741824,1982009,1613495002,258048,0
42,2026-08-20T08:00:28Z,1787212828,server,bench-silo,603.28,610267136,2147483648,1614243581,1983431,19066880,1381801984
43,2026-08-20T08:00:29Z,1787212829,client,bench-warp,41.79,157073408,1073741824,2047829,1670866178,258048,0
43,2026-08-20T08:00:29Z,1787212829,server,bench-silo,551.84,609062912,2147483648,1676484107,2054363,19066880,1423822848
44,2026-08-20T08:00:30Z,1787212830,client,bench-warp,44.13,155725824,1073741824,2071703,1691242640,258048,0
44,2026-08-20T08:00:30Z,1787212830,server,bench-silo,517.90,610238464,2147483648,1693453189,2074889,19066880,1436426240
45,2026-08-20T08:00:31Z,1787212831,client,bench-warp,57.49,145793024,1073741824,2133377,1758730018,258048,0
45,2026-08-20T08:00:31Z,1787212831,server,bench-silo,533.48,612519936,2147483648,1764304259,2138225,19066880,1478422528
46,2026-08-20T08:00:32Z,1787212832,client,bench-warp,77.77,145264640,1073741824,2175221,1808888440,258048,0
46,2026-08-20T08:00:32Z,1787212832,server,bench-silo,543.97,616599552,2147483648,1811276965,2177555,19066880,1757544448
47,2026-08-20T08:00:33Z,1787212833,client,bench-warp,86.74,143208448,1073741824,2211311,1848176760,258048,0
47,2026-08-20T08:00:33Z,1787212833,server,bench-silo,566.67,617119744,2147483648,1855670561,2216873,19066880,1758662656
48,2026-08-20T08:00:34Z,1787212834,client,bench-warp,40.93,125509632,1073741824,2280047,1935805932,258048,0
48,2026-08-20T08:00:34Z,1787212834,server,bench-silo,584.32,619278336,2147483648,1941204227,2285435,19066880,1783095296
49,2026-08-20T08:00:35Z,1787212835,client,bench-warp,47.53,106844160,1073741824,2337699,1994350707,258048,0
49,2026-08-20T08:00:35Z,1787212835,server,bench-silo,573.60,621338624,2147483648,2001286583,2345466,19066880,1860104192
50,2026-08-20T08:00:36Z,1787212836,client,bench-warp,62.75,106553344,1073741824,2376473,2032570750,258048,0
50,2026-08-20T08:00:36Z,1787212836,server,bench-silo,584.53,624967680,2147483648,2037770439,2382203,19066880,1922584576
51,2026-08-20T08:00:37Z,1787212837,client,bench-warp,122.59,115740672,1073741824,2486352,2114378776,258048,0
51,2026-08-20T08:00:37Z,1787212837,server,bench-silo,494.17,637796352,2147483648,2120453534,2496743,19111936,2036932608
52,2026-08-20T08:00:38Z,1787212838,client,bench-warp,132.78,134021120,1073741824,2537257,2139440612,258048,0
52,2026-08-20T08:00:38Z,1787212838,server,bench-silo,309.62,647049216,2147483648,2140251473,2539549,19116032,2041188352
53,2026-08-20T08:00:39Z,1787212839,client,bench-warp,141.30,144789504,1073741824,2579098,2166709742,258048,0
53,2026-08-20T08:00:39Z,1787212839,server,bench-silo,393.78,651403264,2147483648,2169905144,2583052,19116032,2041192448
54,2026-08-20T08:00:40Z,1787212840,client,bench-warp,169.93,164806656,1073741824,2632390,2210991123,258048,0
54,2026-08-20T08:00:40Z,1787212840,server,bench-silo,503.03,658739200,2147483648,2214041567,2637352,19116032,2045403136
55,2026-08-20T08:00:41Z,1787212841,client,bench-warp,143.28,181788672,1073741824,2692925,2255752180,258048,0
55,2026-08-20T08:00:41Z,1787212841,server,bench-silo,410.63,660193280,2147483648,2259234459,2696459,19116032,2053812224
56,2026-08-20T08:00:42Z,1787212842,client,bench-warp,52.33,169803776,1073741824,2761685,2325575336,258048,0
56,2026-08-20T08:00:42Z,1787212842,server,bench-silo,554.69,658313216,2147483648,2329548239,2766491,19116032,2087391232
57,2026-08-20T08:00:43Z,1787212843,client,bench-warp,65.97,156004352,1073741824,2818175,2377249841,258048,0
57,2026-08-20T08:00:43Z,1787212843,server,bench-silo,573.16,656568320,2147483648,2380608676,2823719,19116032,2100002816
58,2026-08-20T08:00:44Z,1787212844,client,bench-warp,43.57,151085056,1073741824,2843537,2404473667,258048,0
58,2026-08-20T08:00:44Z,1787212844,server,bench-silo,551.07,655290368,2147483648,2407350804,2846627,19116032,2112610304
59,2026-08-20T08:00:45Z,1787212845,client,bench-warp,63.54,140058624,1073741824,2916516,2484164848,258048,0
59,2026-08-20T08:00:45Z,1787212845,server,bench-silo,554.75,651485184,2147483648,2495686685,2928840,19132416,2347073536
60,2026-08-20T08:00:46Z,1787212846,client,bench-warp,82.79,128135168,1073741824,2937732,2505952222,258048,0
60,2026-08-20T08:00:46Z,1787212846,server,bench-silo,345.28,650534912,2147483648,2508612541,2940288,19136512,2351276032
61,2026-08-20T08:00:47Z,1787212847,client,bench-warp,160.28,134074368,1073741824,3026906,2614101047,258048,0
61,2026-08-20T08:00:47Z,1787212847,server,bench-silo,563.01,662659072,2147483648,2623219754,3034106,19161088,2365120512
62,2026-08-20T08:00:48Z,1787212848,client,bench-warp,59.01,120852480,1073741824,3083653,2677432903,258048,0
62,2026-08-20T08:00:48Z,1787212848,server,bench-silo,563.20,681439232,2147483648,2679600515,3086563,19181568,2413883392
63,2026-08-20T08:00:49Z,1787212849,client,bench-warp,37.95,99262464,1073741824,3129133,2733876353,258048,0
63,2026-08-20T08:00:49Z,1787212849,server,bench-silo,504.90,644956160,2147483648,2737960406,3134767,19210240,2709999616
64,2026-08-20T08:00:50Z,1787212850,client,bench-warp,83.21,101359616,1073741824,3194554,2767921969,258048,0
64,2026-08-20T08:00:50Z,1787212850,server,bench-silo,508.50,647000064,2147483648,2773918064,3204340,19316736,2720813056
65,2026-08-20T08:00:51Z,1787212851,client,bench-warp,161.61,143204352,1073741824,3329404,2875577049,258048,0
65,2026-08-20T08:00:51Z,1787212851,server,bench-silo,508.65,657993728,2147483648,2879569602,3334846,19345408,2743992320
66,2026-08-20T08:00:52Z,1787212852,client,bench-warp,147.31,165031936,1073741824,3397654,2939797203,258048,0
66,2026-08-20T08:00:52Z,1787212852,server,bench-silo,529.91,661626880,2147483648,2943980038,3403450,19357696,2760810496
67,2026-08-20T08:00:53Z,1787212853,client,bench-warp,71.25,154566656,1073741824,3459086,3009149727,258048,0
67,2026-08-20T08:00:53Z,1787212853,server,bench-silo,573.62,658628608,2147483648,3013879596,3464024,19357696,2792321024
