cycle,ts,epoch,role,container,cpu_pct,mem_bytes,mem_limit_bytes,net_rx_bytes,net_tx_bytes,blk_read_bytes,blk_write_bytes
2,2026-08-20T08:30:36Z,1787214636,server,bench-swfs-vol1,67.73,106393600,335544320,49897837,36907561,0,16384
2,2026-08-20T08:30:36Z,1787214636,server,bench-swfs-vol2,43.98,63500288,335544320,29466369,8471782,0,16384
2,2026-08-20T08:30:36Z,1787214636,server,bench-swfs-vol3,52.78,82882560,335544320,26345442,24246812,36864,12288
2,2026-08-20T08:30:36Z,1787214636,server,bench-swfs-vol0,48.38,45125632,335544320,51571092,89123,159744,20480
2,2026-08-20T08:30:36Z,1787214636,server,bench-seaweedfs,154.36,242024448,805306368,102964369,97289118,0,114688
3,2026-08-20T08:30:37Z,1787214637,client,bench-warp,42.82,54464512,1073741824,333366,197973756,335872,0
3,2026-08-20T08:30:37Z,1787214637,server,bench-swfs-vol1,97.58,144486400,335544320,103234413,101152072,0,72056832
3,2026-08-20T08:30:37Z,1787214637,server,bench-swfs-vol2,75.43,111001600,335544320,98701918,23296518,0,69664768
3,2026-08-20T08:30:37Z,1787214637,server,bench-swfs-vol3,59.77,101380096,335544320,64258125,64265443,36864,63954944
3,2026-08-20T08:30:37Z,1787214637,server,bench-swfs-vol0,76.99,60649472,335544320,126173362,175100,159744,91467776
3,2026-08-20T08:30:37Z,1787214637,server,bench-seaweedfs,164.89,268488704,805306368,213172403,209801120,0,114688
4,2026-08-20T08:30:38Z,1787214638,client,bench-warp,41.33,57774080,1073741824,507768,322554935,335872,0
4,2026-08-20T08:30:38Z,1787214638,server,bench-swfs-vol1,60.87,149430272,335544320,158953666,152767075,0,152608768
4,2026-08-20T08:30:38Z,1787214638,server,bench-swfs-vol2,98.88,141725696,335544320,153613109,51794590,0,69664768
4,2026-08-20T08:30:38Z,1787214638,server,bench-swfs-vol3,42.66,113573888,335544320,105331502,104294387,36864,63954944
4,2026-08-20T08:30:38Z,1787214638,server,bench-swfs-vol0,84.56,69419008,335544320,216586131,275246,159744,212717568
4,2026-08-20T08:30:38Z,1787214638,server,bench-seaweedfs,162.22,310345728,805306368,346110782,340044864,0,114688
5,2026-08-20T08:30:39Z,1787214639,client,bench-warp,52.62,61108224,1073741824,617942,410642183,335872,0
5,2026-08-20T08:30:39Z,1787214639,server,bench-swfs-vol1,97.78,152190976,335544320,201127519,199505686,0,152608768
5,2026-08-20T08:30:39Z,1787214639,server,bench-swfs-vol2,82.95,164343808,335544320,204497402,71405305,0,150077440
5,2026-08-20T08:30:39Z,1787214639,server,bench-swfs-vol3,59.67,117772288,335544320,140065549,136188104,36864,107003904
5,2026-08-20T08:30:39Z,1787214639,server,bench-swfs-vol0,100.05,93876224,335544320,278908842,346422,159744,212717568
5,2026-08-20T08:30:39Z,1787214639,server,bench-seaweedfs,198.64,319463424,805306368,426175998,425524467,0,114688
6,2026-08-20T08:30:40Z,1787214640,client,bench-warp,37.68,59953152,1073741824,745822,506550779,335872,0
6,2026-08-20T08:30:40Z,1787214640,server,bench-swfs-vol1,49.10,178339840,335544320,237940346,204457512,12288,205516800
6,2026-08-20T08:30:40Z,1787214640,server,bench-swfs-vol2,47.97,160198656,335544320,245145310,90049826,8192,222474240
